代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
002272.SZ,20250918,川润股份,18.5,9.99,284505.83,660192.7167999999,265.2514,0.0,10:29:51,14:45:12,1.0, 1/1
002067.SZ,20250918,景兴纸业,7.16,9.98,21067.75,832681.14642,2137.093172,9.984639016897079,9:25:0,9:25:0,3.0, 3/3
002905.SZ,20250918,金逸影视,15.44,9.97,98048.64,145259.52,667.20096,-2.564102564102555,10:57:36,14:56:0,1.0, 4/7
603269.SH,20250918,海鸥股份,13.46,9.97,87445.38,309013.88586,794.926,3.3496732026143894,9:38:15,14:47:27,2.0, 2/2
603030.SH,20250918,全筑股份,3.31,9.97,89701.14,309211.81212899997,297.505,-0.6644518272425071,9:34:38,14:55:8,1.0, 2/4
002641.SZ,20250918,公元股份,4.64,9.95,18725.38,220409.1756,25.8876,0.23696682464455776,9:41:39,9:43:15,1.0, 1/1
600869.SH,20250918,远东股份,8.18,9.95,148376.63,828097.667666,989.1508,2.6881720430107503,9:33:35,14:47:26,1.0, 1/1
600376.SH,20250918,首开股份,8.07,9.95,202594.64,985562.3915280001,7380.945,5.585831062670299,9:44:44,14:45:17,5.0, 11/12
600162.SH,20250918,香江控股,2.88,9.92,27705.32,302432.32569599996,5507.775,4.198473282442738,9:30:43,9:30:43,5.0, 5/5
600170.SH,20250918,上海建工,3.88,9.92,864418.51,1899636.0492119999,22539.1092,0.2832861189801861,10:5:28,14:45:19,5.0, 5/5
600580.SH,20250918,卧龙电驱,56.67,9.61,1716732.83,5413911.626991,11332.3643,0.560928433268848,,,,
600745.SH,20250918,闻泰科技,49.32,9.6,580817.31,4317563.188764,681.8791,-0.24444444444444713,,,,
301345.SZ,20250918,涛涛车业,242.51,9.44,74935.93,704684.248446,370.4394,0.09927797833935159,,,,
300731.SZ,20250918,科创新源,49.72,9.39,112176.99,477300.982048,81.36,-0.5500550055005493,,,,
688535.SH,20250918,华海诚科,104.0,9.35,102756.27,489479.92079999996,77.1557,0.05257070760171789,,,,
300358.SZ,20250918,楚天科技,9.02,9.33,69142.24,314643.12028599996,149.298,1.2121212121211977,,,,
605305.SH,20250918,中际联合,41.79,9.2,112220.2,621684.751821,93.574,0.20904102430101545,,,,
300115.SZ,20250918,长盈精密,34.5,9.04,1041433.09,3147145.57605,9925.12,1.1378002528444897,,,,
832000.BJ,20250918,XD安徽凤,26.8,8.94,38071.61,80353.34656,272.617104,0.4878048780487809,,,,
603786.SH,20250918,科博达,83.3,8.86,173814.14,677036.61032,15373.2128,9.99738630423419,,,,
834407.BJ,20250918,驰诚股份,24.25,8.84,27065.93,49564.2355,430.708776,1.9299820466786244,,,,
002050.SZ,20250918,三花智控,45.55,8.71,2161052.47,9329682.75793,21829.751306000002,2.6491646778042943,,,,
603667.SH,20250918,五洲新春,51.8,8.53,417935.64,1155603.33546,1771.1001,1.6341923318667462,,,,
601512.SH,20250918,中新集团,10.33,8.51,39313.07,294188.07,2467.4262,9.978991596638664,,,,
300606.SZ,20250918,金太阳,23.8,8.48,60171.97,192689.85274,93.755,0.5469462169553241,,,,
301155.SZ,20250918,海力风电,90.25,8.32,84434.46,783868.0536499999,69.7284,-0.3720595295247042,,,,
301018.SZ,20250918,申菱环境,79.19,8.23,192041.18,871877.2594659999,316.05,0.45100451004509434,,,,
603031.SH,20250918,安孚科技,41.28,8.15,60684.58,579890.009568,38.05,-0.3143830233167555,,,,
688027.SH,20250918,国盾量子,347.65,7.97,287539.71,2130203.4730499997,1726.1776,3.1677018633540444,,,,
603119.SH,20250918,浙江荣泰,115.48,7.81,361714.79,2354400.269684,5376.5712,3.519746055456996,,,,
688698.SH,20250918,伟创电气,77.8,7.76,132193.43,711104.4013200001,1786.3275,3.87811634349029,,,,
600167.SH,20250918,联美控股,7.17,7.66,36922.11,483302.970957,60.273,0.0,,,,
688031.SH,20250918,星环科技-U,62.76,7.65,74481.43,488747.184012,32.3673,-0.32572898799313466,,,,
688630.SH,20250918,芯碁微装,156.0,7.59,203456.27,1261985.6028,523.8282,-0.09655172413791657,,,,
601777.SH,20250918,千里科技,12.77,7.49,172624.77,2110868.5964989997,122.7048,0.08417508417508657,,,,
002158.SZ,20250918,汉钟精机,28.74,7.48,159847.54,590922.1599659999,1274.091,2.0942408376963373,,,,
300969.SZ,20250918,恒帅股份,118.5,7.46,92364.78,359769.42465,879.4098,0.06348054774645284,,,,
688401.SH,20250918,路维光电,48.15,7.45,72643.77,507316.301415,267.8815,0.4463289444320395,,,,
688201.SH,20250918,信安世纪,15.5,7.42,63291.21,272287.3003,114.9422,0.0,,,,
301210.SZ,20250918,金杨股份,52.3,7.41,71242.2,227316.29114000002,27.3504,0.30807147258165024,,,,
688361.SH,20250918,中科飞测,101.85,7.39,136106.04,2043503.7641549997,272.8303,0.158161113454236,,,,
603166.SH,20250918,福达股份,19.35,7.32,132316.17,514304.832285,277.611,1.4975041597337757,,,,
603893.SH,20250918,瑞芯微,223.51,7.29,663378.12,4481390.206958,1956.1953,1.0800691244239546,,,,
301421.SZ,20250918,波长光电,94.5,7.24,229811.12,437615.18325,6396.7821,5.526554698138897,,,,
301629.SZ,20250918,矽电股份,174.35,7.23,66445.38,181877.020765,63.414,0.0,,,,
002065.SZ,20250918,东华软件,10.58,7.19,416984.45,2175906.101392,362.8212,0.0,,,,
688237.SH,20250918,超卓航科,54.98,7.13,28591.78,212782.29847199997,39.3976,1.9095869056897863,,,,
300765.SZ,20250918,新诺威,51.8,7.07,69986.09,1843807.7288399998,70.3584,0.9921455146754798,,,,
600749.SH,20250918,西藏旅游,23.96,7.06,101227.1,297359.79456400004,550.22,-1.6979445933869464,,,,
002826.SZ,20250918,易明医药,20.78,7.06,38585.67,271110.128846,11.0694,0.05151983513653757,,,,
300499.SZ,20250918,高澜股份,34.51,6.97,311541.76,899182.5866099999,1002.8865,-0.836949783013019,,,,
600522.SH,20250918,中天科技,16.89,6.97,633784.73,4456986.857841001,391.8074,-0.5066497783407065,,,,
835640.BJ,20250918,富士达,30.96,6.91,51186.29,251462.61230399998,71.69768,0.8287292817679592,,,,
301257.SZ,20250918,普蕊斯,53.8,6.89,38802.28,204395.67418,55.1559,-1.271607391217966,,,,
605389.SH,20250918,长龄液压,57.02,6.84,42844.12,193552.45132,309.546,0.0,,,,
